brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Samsung,Galaxy Fold,SM-F900F,android,phone,2019,no,,none,,9.0,,official,,high,
Samsung,Galaxy Z Fold2,SM-F916B,android,phone,2020,no,,none,,10.0,,official,,high,
Samsung,Galaxy Z Fold3,SM-F926B,android,phone,2021,yes,region:CN=no;region:US=conditional,physical+esim,1,11.0,,official,,medium,eSIM availability varies by regional model.
Samsung,Galaxy Z Fold4,SM-F936B,android,phone,2022,yes,region:CN=no;region:US=conditional,physical+esim,1,12.0,,parallel,,medium,eSIM availability varies by regional model.
Samsung,Galaxy Z Fold5,SM-F946B,android,phone,2023,yes,region:CN=no;region:US=conditional,physical+esim,1,13.0,,parallel,,medium,eSIM availability varies by regional model.
Samsung,Galaxy Z Fold6,SM-F956B,android,phone,2024,yes,region:CN=no;region:US=conditional,physical+esim,1,14.0,,parallel,,medium,eSIM availability varies by regional model.
Samsung,Galaxy Z Fold7,SM-F966B,android,phone,2025,yes,region:CN=no;region:US=conditional,physical+esim,1,15.0,,parallel,,medium,eSIM availability varies by regional model.
Samsung,Galaxy Z Flip,SM-F700F,android,phone,2020,no,,none,,10.0,,official,,high,
Samsung,Galaxy Z Flip 5G,SM-F707B,android,phone,2020,no,,none,,10.0,,official,,high,
Samsung,Galaxy Z Flip3 5G,SM-F711B,android,phone,2021,yes,region:CN=no;region:US=conditional,physical+esim,1,11.0,,official,,medium,eSIM availability varies by regional model.
Samsung,Galaxy Z Flip4,SM-F721B,android,phone,2022,yes,region:CN=no;region:US=conditional,physical+esim,1,12.0,,parallel,,medium,eSIM availability varies by regional model.
Samsung,Galaxy Z Flip5,SM-F731B,android,phone,2023,yes,region:CN=no;region:US=conditional,physical+esim,1,13.0,,parallel,,medium,eSIM availability varies by regional model.
Samsung,Galaxy Z Flip6,SM-F741B,android,phone,2024,yes,region:CN=no;region:US=conditional,physical+esim,1,14.0,,parallel,,medium,eSIM availability varies by regional model.
Samsung,Galaxy Z Flip7,SM-F766B,android,phone,2025,yes,region:CN=no;region:US=conditional,physical+esim,1,15.0,,parallel,,medium,eSIM availability varies by regional model.
Samsung,Galaxy Z Flip7 FE,SM-F761B,android,phone,2025,yes,region:CN=no;region:US=conditional,physical+esim,1,15.0,,parallel,,medium,eSIM availability varies by regional model.
Samsung,Galaxy Note9,SM-N960F,android,phone,2018,no,,none,,8.1,,official,,high,
Samsung,Galaxy Note10,SM-N970F,android,phone,2019,no,,none,,9.0,,official,,high,
Samsung,Galaxy Note10+,SM-N975F,android,phone,2019,no,,none,,9.0,,official,,high,
Samsung,Galaxy Note20,SM-N980F,android,phone,2020,yes,region:CN=no;region:US=conditional,physical+esim,1,10.0,,official,,medium,eSIM availability varies by regional model.
Samsung,Galaxy Note20 Ultra,SM-N986B,android,phone,2020,yes,region:CN=no;region:US=conditional,physical+esim,1,10.0,,official,,medium,eSIM availability varies by regional model.
